company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
FedEx,135,13.0,69217.0,-0.7,1286.0,138.1,73537,499718,"Mail, Package, and Freight Delivery",Transportation,U.S.,Memphis,Tennessee,no,,no,yes,27,148.0,,Frederick Smith,https://www.fedex.com,FDX,58720
MetLife,136,13.0,67842.0,-2.6,5407.0,-8.3,795146,46500,"Insurance: Life, Health (stock)",Financials,U.S.,New York,New York City,no,,no,yes,27,149.0,,Michel A. Khalaf,https://www.metlife.com,MET,55189
Bank of Communications,137,25.0,67605.5,1.6,11409.3,2,1639481.4,90716,Banks: Commercial and Savings,Financials,China,Shanghai,,no,,no,yes,13,162.0,,Ren Deqi,https://www.bankcomm.com,BCMXY,47341
Jinneng Holding Group,138,325.0,67534.8,145.1,8.2,,157497.6,472860,"Mining, Crude-Oil Production",Energy,China,Datong,,no,,no,yes,9,463.0,,Guo Jingang,https://www.dtcoalmine.com,,
Country Garden Holdings,139,8.0,67080.4,-4.6,5075.6,-11.3,308936.2,93899,Real estate,Financials,China,Foshan,,no,,no,yes,5,147.0,,Mo Bin,https://www.countrygarden.com.cn,CTRYY,23805
Aviation Industry Corp. of China,140,23.0,66964.1,1.6,915.7,58.4,161220.8,407344,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,13,163.0,,Luo Ronghuai,https://www.avic.com,,
Freddie Mac,141,-16.0,66228.0,-11.8,7326.0,1.6,2627415,6922,Diversified Financials,Financials,U.S.,McLean,Virginia,no,,no,yes,25,125.0,,Michael J. DeVito,https://www.freddiemac.com,FMCC,3752
Greenland Holding Group,142,34.0,66095.8,6.7,2173.6,1.9,214151.2,86251,Real estate,Financials,China,Shanghai,,no,,no,yes,10,176.0,,Zhang Yuliang,https://www.ldjt.com.cn,,
Phillips 66,143,-82.0,65494.0,-40.2,-3975.0,-229.2,54721,14300,Petroleum Refining,Energy,U.S.,Houston,Texas,no,,no,no,9,61.0,,Greg C. Garland,https://www.phillips66.com,PSX,31662
Lockheed Martin,144,38.0,65398.0,9.3,6833.0,9.7,50710,114000,Aerospace & Defense,Aerospace & Defense,U.S.,Bethesda,Maryland,no,,no,yes,27,182.0,,James D. Taiclet Jr.,https://www.lockheedmartin.com,LMT,102372
Walt Disney,145,5.0,65388.0,-6,-2864.0,-125.9,201549,203000,Entertainment,Media,U.S.,Burbank,California,no,,no,no,27,150.0,,Robert A. Chapek,https://www.thewaltdisneycompany.com,DIS,250096
Archer Daniels Midland,146,22.0,64355.0,-0.5,1772.0,28.5,49719,38332,Food Production,"Food, Beverages & Tobacco",U.S.,Chicago,Illinois,no,,no,yes,27,168.0,,Juan R. Luciano,https://www.adm.com,ADM,38568
Roche Group,147,24.0,64285.0,0.2,15228.8,12.1,97485.3,101465,Pharmaceuticals,Health Care,Switzerland,Basel,,no,,no,yes,27,171.0,,Severin Schwan,https://www.roche.com,RHHBY,346050
Xiamen C&D,148,86.0,64111.8,30.4,952.6,42.8,66968.3,28928,Trading,Wholesalers,China,Xiamen,,no,,no,yes,5,234.0,,Huang Wenzhou,https://www.chinacdc.com,,
